state,city,locality,area_sqft,bedrooms,bathrooms,parking,property_age_years,property_type,furnishing,floor_no,total_floors,price_inr
Assam,Guwahati,Zoo Road,1338,2,2,0,0,Villa,Semi-Furnished,4,5,11779000.0
Delhi,New Delhi,Dwarka,1601,3,3,1,8,Builder Floor,Furnished,5,18,18152000.0
West Bengal,Kolkata,Howrah,1215,2,1,1,18,Apartment,Semi-Furnished,7,10,4674000.0
Karnataka,Bengaluru,Indiranagar,494,1,1,1,25,Builder Floor,Unfurnished,9,10,4153000.0
Telangana,Hyderabad,Madhapur,1004,3,2,1,18,Apartment,Unfurnished,18,29,6693000.0
Maharashtra,Pune,Hinjewadi,1800,2,3,2,5,Apartment,Furnished,9,10,13764000.0
Goa,Margao,Fatorda,660,2,1,3,5,Apartment,Semi-Furnished,21,22,5298000.0
Madhya Pradesh,Indore,Palasia,466,2,3,2,0,Apartment,Unfurnished,3,4,3147000.0
West Bengal,Kolkata,Salt Lake,886,2,2,2,5,Apartment,Furnished,13,14,8774000.0
Kerala,Kochi,Marine Drive,1275,3,2,1,0,Independent House,Unfurnished,21,22,17277000.0
Puducherry,Puducherry City,White Town,927,4,5,3,2,Apartment,Unfurnished,10,20,10454000.0
Jammu and Kashmir,Srinagar,Rajbagh,1400,1,1,3,0,Apartment,Semi-Furnished,3,11,11846000.0
Uttarakhand,Dehradun,Vasant Vihar,2137,3,4,2,8,Apartment,Unfurnished,23,24,12156000.0
Tripura,Agartala,Akhaura Road,350,4,4,2,2,Independent House,Semi-Furnished,15,20,1381000.0
Chandigarh,Chandigarh City,Sector 21,2033,2,1,2,25,Villa,Unfurnished,10,11,18706000.0
Andhra Pradesh,Visakhapatnam,Dwaraka Nagar,1749,3,3,2,12,Builder Floor,Semi-Furnished,0,27,8663000.0
Maharashtra,Nagpur,Wardha Road,444,2,2,3,18,Apartment,Unfurnished,9,14,2111000.0
Maharashtra,Mumbai,Bandra,1129,3,3,1,5,Apartment,Unfurnished,18,19,34633000.0
Dadra and Nagar Haveli and Daman and Diu,Daman,Nani Daman,1604,4,4,1,18,Apartment,Furnished,21,22,7375000.0
Uttar Pradesh,Lucknow,Hazratganj,891,3,3,3,8,Independent House,Furnished,16,17,9804000.0
Telangana,Hyderabad,Kondapur,1598,2,1,2,5,Apartment,Semi-Furnished,4,23,11531000.0
Maharashtra,Nagpur,Wardha Road,570,1,1,1,2,Apartment,Furnished,8,13,3644000.0
Karnataka,Mysuru,Kuvempunagar,1070,3,3,3,12,Independent House,Semi-Furnished,10,12,5691000.0
Telangana,Hyderabad,Madhapur,1616,3,3,2,2,Apartment,Semi-Furnished,19,25,14667000.0
Assam,Guwahati,Beltola,1291,1,1,3,5,Independent House,Unfurnished,0,17,7724000.0
Gujarat,Ahmedabad,Satellite,1891,2,2,1,5,Apartment,Furnished,13,14,15195000.0
Andhra Pradesh,Visakhapatnam,MVP Colony,671,1,1,2,12,Apartment,Semi-Furnished,18,19,3358000.0
West Bengal,Kolkata,Howrah,1010,2,3,0,25,Apartment,Furnished,3,4,3840000.0
Tripura,Agartala,Akhaura Road,1103,2,3,1,5,Independent House,Unfurnished,23,24,4070000.0
Bihar,Patna,Kankarbagh,2096,3,3,1,8,Villa,Unfurnished,5,7,11808000.0
Maharashtra,Pune,Hinjewadi,1262,2,2,1,8,Apartment,Furnished,4,23,10337000.0
Maharashtra,Mumbai,Borivali,500,3,4,1,5,Apartment,Semi-Furnished,22,23,7953000.0
Madhya Pradesh,Bhopal,Arera Colony,2025,3,3,1,0,Apartment,Unfurnished,10,18,11716000.0
Maharashtra,Pune,Viman Nagar,1261,3,3,1,12,Builder Floor,Semi-Furnished,6,9,11708000.0
Assam,Guwahati,Khanapara,1569,3,3,1,18,Independent House,Semi-Furnished,5,13,6515000.0
Rajasthan,Udaipur,Hiran Magri,1775,2,1,2,2,Villa,Semi-Furnished,14,15,11361000.0
Maharashtra,Pune,Wakad,2079,2,3,1,5,Independent House,Semi-Furnished,5,14,16803000.0
Punjab,Ludhiana,Sarabha Nagar,1467,4,4,1,12,Apartment,Semi-Furnished,13,24,9457000.0
Mizoram,Aizawl,Chanmari,1204,2,3,0,2,Apartment,Semi-Furnished,2,15,3613000.0
Andhra Pradesh,Visakhapatnam,Madhurawada,1221,3,3,0,12,Villa,Furnished,2,23,6240000.0
Jharkhand,Ranchi,Harmu,1095,2,2,1,1,Apartment,Unfurnished,8,19,4777000.0
Gujarat,Surat,Vesu,350,4,5,2,5,Apartment,Unfurnished,7,8,2333000.0
Himachal Pradesh,Shimla,Mall Road,1050,1,1,3,18,Builder Floor,Unfurnished,10,28,8371000.0
Telangana,Hyderabad,Banjara Hills,1280,3,4,1,0,Apartment,Unfurnished,8,27,23859000.0
Gujarat,Surat,City Light,661,3,3,2,5,Villa,Furnished,6,7,6019000.0
Tripura,Agartala,Banamalipur,1694,1,1,2,1,Villa,Furnished,0,11,10425000.0
Karnataka,Mysuru,Gokulam,1304,2,1,0,0,Independent House,Unfurnished,10,11,8064000.0
Maharashtra,Pune,Hinjewadi,1003,2,2,0,2,Apartment,Semi-Furnished,14,26,9033000.0
Maharashtra,Pune,Koregaon Park,1315,2,1,2,8,Independent House,Unfurnished,0,5,16847000.0
West Bengal,Kolkata,Park Street,1354,4,3,3,18,Independent House,Unfurnished,24,25,20989000.0
Gujarat,Ahmedabad,Satellite,1801,4,4,1,5,Independent House,Unfurnished,13,14,15614000.0
Madhya Pradesh,Bhopal,Arera Colony,1731,1,1,1,12,Apartment,Unfurnished,23,29,8294000.0
Uttar Pradesh,Noida,Sector 62,685,2,1,1,8,Apartment,Semi-Furnished,18,27,5300000.0
Maharashtra,Nagpur,Civil Lines,549,1,1,1,18,Builder Floor,Semi-Furnished,13,21,3250000.0
Meghalaya,Shillong,Laitumkhrah,1451,5,6,2,5,Apartment,Unfurnished,2,9,8097000.0
Dadra and Nagar Haveli and Daman and Diu,Daman,Nani Daman,1803,3,3,0,5,Apartment,Unfurnished,3,19,8690000.0
Uttar Pradesh,Kanpur,Swaroop Nagar,1505,3,3,2,5,Apartment,Furnished,16,17,7496000.0
Odisha,Bhubaneswar,Patia,2686,2,3,2,5,Apartment,Unfurnished,12,25,15007000.0
Mizoram,Aizawl,Dawrpui,1229,2,2,2,8,Apartment,Semi-Furnished,22,23,4325000.0
Gujarat,Surat,City Light,871,3,2,1,8,Independent House,Semi-Furnished,15,19,4961000.0
Mizoram,Aizawl,Dawrpui,1372,2,2,2,1,Apartment,Semi-Furnished,10,11,5836000.0
Madhya Pradesh,Indore,Palasia,1397,2,2,1,5,Apartment,Semi-Furnished,10,20,8637000.0
Maharashtra,Mumbai,Borivali,710,3,3,2,1,Independent House,Semi-Furnished,11,12,13226000.0
Maharashtra,Nagpur,Civil Lines,1883,2,2,1,5,Villa,Furnished,2,5,19721000.0
Gujarat,Surat,Adajan,1258,3,3,2,5,Independent House,Semi-Furnished,22,23,8005000.0
Goa,Panaji,Dona Paula,964,4,4,1,8,Builder Floor,Furnished,2,3,12675000.0
Madhya Pradesh,Bhopal,Arera Colony,1390,1,2,1,5,Villa,Semi-Furnished,5,7,11796000.0
Gujarat,Surat,Adajan,508,1,2,1,5,Independent House,Unfurnished,12,13,2735000.0
Tripura,Agartala,Banamalipur,1214,1,1,1,8,Apartment,Furnished,2,29,4801000.0
Maharashtra,Pune,Viman Nagar,1070,2,2,1,2,Independent House,Semi-Furnished,16,28,11031000.0
Uttarakhand,Dehradun,Vasant Vihar,1478,4,3,1,12,Apartment,Semi-Furnished,6,22,9818000.0
Haryana,Gurugram,Sohna Road,892,3,4,0,8,Villa,Unfurnished,11,12,7151000.0
Maharashtra,Pune,Wakad,1113,3,3,3,18,Villa,Semi-Furnished,17,24,9267000.0
Ladakh,Leh,Skara,350,2,1,1,5,Villa,Semi-Furnished,6,20,1654000.0
Maharashtra,Pune,Kothrud,350,2,2,2,5,Independent House,Furnished,16,28,3189000.0
Punjab,Chandigarh,Sector 22,1586,3,3,1,5,Builder Floor,Semi-Furnished,4,13,14838000.0
Uttar Pradesh,Kanpur,Civil Lines,1219,3,3,2,0,Independent House,Unfurnished,22,29,6467000.0
Assam,Guwahati,Beltola,1750,2,3,0,5,Apartment,Unfurnished,9,16,8026000.0
Maharashtra,Mumbai,Bandra,1361,3,4,2,12,Apartment,Semi-Furnished,8,9,38727000.0
Gujarat,Ahmedabad,Navrangpura,2295,2,2,2,8,Apartment,Furnished,4,27,21509000.0
Meghalaya,Shillong,Laitumkhrah,1716,2,1,1,18,Villa,Furnished,15,16,9371000.0
Himachal Pradesh,Shimla,Mall Road,1431,2,3,3,5,Apartment,Unfurnished,15,16,15889000.0
Puducherry,Puducherry City,White Town,1515,1,1,2,5,Independent House,Furnished,8,18,15686000.0
Gujarat,Surat,Adajan,1158,3,3,2,12,Builder Floor,Furnished,17,18,7390000.0
Dadra and Nagar Haveli and Daman and Diu,Daman,Moti Daman,1719,5,4,1,2,Apartment,Semi-Furnished,22,23,8341000.0
Tamil Nadu,Chennai,Anna Nagar,2289,4,4,0,0,Villa,Semi-Furnished,16,17,39367000.0
Andhra Pradesh,Vijayawada,Benz Circle,1379,2,2,0,8,Villa,Semi-Furnished,8,9,9133000.0
Punjab,Chandigarh,Sector 22,1036,4,5,1,18,Apartment,Semi-Furnished,9,10,9900000.0
Andhra Pradesh,Vijayawada,Governorpet,1227,3,4,2,5,Apartment,Unfurnished,5,8,6014000.0
Maharashtra,Nagpur,Civil Lines,845,4,4,3,8,Apartment,Semi-Furnished,3,4,5757000.0
Nagaland,Kohima,Dimapur Road,892,1,1,1,0,Apartment,Semi-Furnished,3,19,2983000.0
Rajasthan,Jaipur,C Scheme,486,3,4,0,1,Independent House,Unfurnished,12,19,3830000.0
Karnataka,Mysuru,Gokulam,532,1,2,3,1,Apartment,Unfurnished,22,23,3175000.0
Tamil Nadu,Coimbatore,Peelamedu,924,5,4,2,1,Independent House,Furnished,18,28,6258000.0
Maharashtra,Pune,Kothrud,1299,2,2,2,25,Apartment,Unfurnished,19,20,7945000.0
Maharashtra,Mumbai,Powai,1924,4,4,1,12,Apartment,Furnished,5,18,35945000.0
Uttar Pradesh,Lucknow,Hazratganj,1576,4,4,2,2,Apartment,Unfurnished,14,23,14359000.0
Madhya Pradesh,Bhopal,MP Nagar,1830,2,1,1,0,Apartment,Furnished,2,13,12756000.0
Ladakh,Leh,Skara,1301,2,3,0,25,Apartment,Unfurnished,21,22,3716000.0
Goa,Panaji,Dona Paula,1930,2,3,2,18,Apartment,Unfurnished,5,23,23851000.0
Kerala,Thiruvananthapuram,Kazhakkoottam,774,1,2,1,8,Apartment,Unfurnished,17,18,3429000.0
Sikkim,Gangtok,Tadong,936,3,3,1,2,Apartment,Unfurnished,0,7,4498000.0
Tamil Nadu,Coimbatore,Peelamedu,1454,3,3,2,5,Builder Floor,Furnished,11,25,8467000.0
Maharashtra,Mumbai,Dadar,461,4,4,2,2,Builder Floor,Furnished,13,14,13454000.0
Madhya Pradesh,Bhopal,MP Nagar,1632,2,3,2,8,Villa,Semi-Furnished,6,13,13067000.0
Jharkhand,Ranchi,Lalpur,1739,2,2,0,8,Apartment,Semi-Furnished,10,11,9494000.0
Uttar Pradesh,Kanpur,Swaroop Nagar,350,2,3,1,5,Apartment,Unfurnished,7,11,1796000.0
Delhi,New Delhi,Karol Bagh,2460,3,4,1,5,Apartment,Semi-Furnished,16,24,44831000.0
Punjab,Ludhiana,Sarabha Nagar,1057,3,3,1,2,Apartment,Unfurnished,8,27,9024000.0
Uttar Pradesh,Lucknow,Hazratganj,1116,4,4,1,2,Builder Floor,Semi-Furnished,18,19,11770000.0
Kerala,Thiruvananthapuram,Kowdiar,1126,1,1,0,12,Apartment,Semi-Furnished,10,24,8157000.0
Himachal Pradesh,Shimla,Mall Road,937,3,2,1,8,Apartment,Unfurnished,19,20,9594000.0
Maharashtra,Pune,Viman Nagar,730,1,1,1,8,Apartment,Semi-Furnished,7,8,7246000.0
Chandigarh,Chandigarh City,Sector 9,701,5,5,1,1,Apartment,Semi-Furnished,5,15,9563000.0
Goa,Margao,Borda,1964,4,3,0,18,Builder Floor,Furnished,9,23,9175000.0
Puducherry,Puducherry City,Reddiarpalayam,1283,1,1,2,18,Builder Floor,Furnished,10,26,5379000.0
Goa,Margao,Borda,1149,3,2,0,8,Independent House,Furnished,4,27,6725000.0
Uttar Pradesh,Lucknow,Gomti Nagar,614,1,1,2,2,Apartment,Semi-Furnished,7,20,3754000.0
Maharashtra,Mumbai,Bandra,1568,3,3,2,1,Independent House,Furnished,10,11,66359000.0
Delhi,New Delhi,Vasant Vihar,1078,4,5,2,2,Apartment,Furnished,23,25,32799000.0
Goa,Margao,Fatorda,1915,2,3,2,0,Independent House,Furnished,3,4,15519000.0
West Bengal,Kolkata,Ballygunge,1116,3,3,2,2,Apartment,Unfurnished,9,29,20243000.0
Tamil Nadu,Coimbatore,RS Puram,929,4,3,2,12,Apartment,Semi-Furnished,18,19,5200000.0
Goa,Panaji,Dona Paula,1046,4,4,1,0,Apartment,Furnished,14,19,15214000.0
Haryana,Gurugram,Sohna Road,1364,1,2,2,5,Apartment,Semi-Furnished,11,13,9243000.0
Punjab,Ludhiana,Sarabha Nagar,350,2,1,1,18,Apartment,Unfurnished,14,27,1798000.0
Goa,Panaji,Dona Paula,350,3,3,1,1,Independent House,Unfurnished,22,23,4791000.0
Sikkim,Gangtok,MG Marg,1335,4,3,1,1,Apartment,Unfurnished,15,16,13458000.0
Karnataka,Bengaluru,Hebbal,350,4,5,2,18,Apartment,Semi-Furnished,5,26,2338000.0
Maharashtra,Nagpur,Dharampeth,1524,2,3,1,8,Villa,Furnished,13,25,13452000.0
Maharashtra,Pune,Kothrud,1156,2,2,2,5,Apartment,Furnished,16,17,11859000.0
Goa,Panaji,Caranzalem,1856,2,2,1,8,Apartment,Semi-Furnished,10,11,16638000.0
Tamil Nadu,Coimbatore,RS Puram,1178,1,1,3,18,Apartment,Semi-Furnished,1,6,6615000.0
Andhra Pradesh,Vijayawada,Governorpet,2004,2,2,1,25,Apartment,Unfurnished,9,29,6718000.0
Madhya Pradesh,Bhopal,Arera Colony,493,5,5,0,2,Villa,Unfurnished,18,19,4234000.0
Delhi,New Delhi,Dwarka,897,3,4,0,8,Independent House,Semi-Furnished,24,25,11172000.0
Jharkhand,Ranchi,Harmu,2043,2,2,1,8,Apartment,Unfurnished,18,19,10463000.0
Odisha,Bhubaneswar,Patia,831,5,6,1,18,Apartment,Unfurnished,5,17,3432000.0
Karnataka,Mysuru,Gokulam,595,2,3,2,8,Independent House,Semi-Furnished,5,27,3354000.0
Haryana,Gurugram,Golf Course Road,1975,2,1,0,2,Apartment,Unfurnished,23,24,30789000.0
Assam,Guwahati,Beltola,1271,3,3,3,12,Builder Floor,Furnished,1,7,4862000.0
Telangana,Hyderabad,Banjara Hills,1043,3,3,3,12,Apartment,Unfurnished,23,24,16777000.0
Maharashtra,Pune,Viman Nagar,1421,1,2,1,18,Apartment,Unfurnished,2,17,12212000.0
Tripura,Agartala,Banamalipur,1885,3,3,2,2,Independent House,Furnished,19,23,9685000.0
Uttarakhand,Dehradun,Race Course,1547,2,3,1,18,Apartment,Furnished,24,25,10951000.0
West Bengal,Kolkata,Ballygunge,1193,3,4,0,12,Apartment,Semi-Furnished,19,20,15998000.0
Karnataka,Bengaluru,Hebbal,1187,2,1,1,12,Apartment,Unfurnished,8,13,8094000.0
Rajasthan,Udaipur,Hiran Magri,905,1,1,1,8,Villa,Unfurnished,9,13,5295000.0
Ladakh,Leh,Leh Market,1475,3,4,0,8,Villa,Furnished,7,22,10247000.0
West Bengal,Kolkata,Howrah,2257,2,1,0,2,Apartment,Unfurnished,18,19,8447000.0
Odisha,Bhubaneswar,Chandrasekharpur,350,1,1,3,18,Apartment,Unfurnished,11,27,1417000.0
Kerala,Kochi,Kakkanad,1418,2,2,2,2,Independent House,Semi-Furnished,20,21,9171000.0
Himachal Pradesh,Shimla,Chhota Shimla,2114,3,3,0,8,Apartment,Unfurnished,23,24,13509000.0
Chhattisgarh,Raipur,Civil Lines,2011,4,5,0,0,Apartment,Furnished,15,16,11611000.0
Delhi,New Delhi,Saket,1180,3,3,3,12,Apartment,Semi-Furnished,5,19,20797000.0
Jharkhand,Ranchi,Harmu,841,2,3,2,5,Apartment,Semi-Furnished,3,4,4292000.0
Punjab,Ludhiana,Sarabha Nagar,1987,3,3,0,5,Independent House,Semi-Furnished,17,18,14673000.0
Sikkim,Gangtok,MG Marg,922,3,4,1,5,Independent House,Unfurnished,16,28,8076000.0
Goa,Panaji,Caranzalem,754,3,3,3,12,Apartment,Unfurnished,3,6,6582000.0
Lakshadweep,Kavaratti,Kavaratti Town,923,2,2,1,8,Apartment,Unfurnished,6,7,3602000.0
Kerala,Kochi,Edappally,350,5,5,1,1,Apartment,Semi-Furnished,10,16,2579000.0
Delhi,New Delhi,Vasant Vihar,920,3,3,0,1,Apartment,Unfurnished,4,13,21096000.0
Andhra Pradesh,Visakhapatnam,MVP Colony,350,2,3,0,8,Apartment,Unfurnished,20,21,2105000.0
Tamil Nadu,Coimbatore,RS Puram,350,3,2,1,18,Apartment,Semi-Furnished,6,15,1972000.0
Punjab,Chandigarh,Sector 17,1948,4,5,0,8,Apartment,Furnished,7,29,27758000.0
Himachal Pradesh,Shimla,Chhota Shimla,1658,5,5,0,2,Independent House,Furnished,22,23,13142000.0
Karnataka,Bengaluru,Whitefield,954,2,3,2,8,Apartment,Semi-Furnished,6,15,6610000.0
Gujarat,Surat,Adajan,1714,1,1,0,18,Apartment,Semi-Furnished,16,17,8820000.0
West Bengal,Kolkata,Salt Lake,1208,2,1,2,8,Independent House,Furnished,21,29,13321000.0
Uttarakhand,Dehradun,Rajpur Road,1626,2,1,2,5,Builder Floor,Unfurnished,11,16,11886000.0
Uttarakhand,Dehradun,Vasant Vihar,1855,3,3,2,8,Apartment,Semi-Furnished,7,9,11532000.0
Andhra Pradesh,Vijayawada,Benz Circle,2070,5,5,0,8,Villa,Semi-Furnished,14,28,13050000.0
Madhya Pradesh,Bhopal,Arera Colony,1669,4,4,2,8,Apartment,Semi-Furnished,19,20,10553000.0
Dadra and Nagar Haveli and Daman and Diu,Daman,Moti Daman,755,4,3,1,0,Apartment,Furnished,15,16,3887000.0
Madhya Pradesh,Bhopal,Kolar Road,650,3,4,2,8,Builder Floor,Semi-Furnished,6,21,2419000.0
Andhra Pradesh,Vijayawada,Benz Circle,1134,2,3,1,1,Apartment,Unfurnished,17,21,6864000.0
Jharkhand,Ranchi,Kanke Road,1853,2,3,1,12,Builder Floor,Unfurnished,16,17,6368000.0
Madhya Pradesh,Bhopal,Kolar Road,1404,4,4,2,18,Apartment,Unfurnished,12,27,4568000.0
Karnataka,Bengaluru,Koramangala,2141,2,2,1,0,Apartment,Semi-Furnished,9,10,35733000.0
Maharashtra,Mumbai,Bandra,825,3,3,2,5,Builder Floor,Furnished,18,19,30201000.0
Maharashtra,Pune,Kothrud,2421,1,2,1,5,Villa,Unfurnished,1,29,27529000.0
Punjab,Chandigarh,Sector 22,967,3,3,1,18,Apartment,Furnished,2,11,9075000.0
West Bengal,Kolkata,Ballygunge,1089,3,3,1,5,Apartment,Semi-Furnished,8,25,19589000.0
Sikkim,Gangtok,MG Marg,1452,3,3,1,2,Apartment,Unfurnished,13,14,12648000.0
Gujarat,Ahmedabad,Satellite,2130,2,3,3,5,Builder Floor,Unfurnished,20,21,12859000.0
Arunachal Pradesh,Itanagar,Ganga Market,1464,1,1,3,1,Apartment,Unfurnished,6,23,5114000.0
Gujarat,Surat,City Light,1443,3,2,3,25,Builder Floor,Furnished,16,22,7004000.0
Karnataka,Mysuru,Gokulam,350,1,1,2,8,Apartment,Semi-Furnished,1,27,2029000.0
Maharashtra,Nagpur,Civil Lines,583,2,2,1,2,Apartment,Semi-Furnished,14,22,3417000.0
Tamil Nadu,Coimbatore,Peelamedu,1667,2,2,2,12,Villa,Unfurnished,11,29,11307000.0
Telangana,Hyderabad,Kukatpally,350,3,3,2,25,Villa,Semi-Furnished,16,20,2365000.0
Lakshadweep,Kavaratti,Kavaratti Town,459,2,3,2,5,Builder Floor,Unfurnished,13,28,1631000.0
West Bengal,Kolkata,Howrah,2130,2,2,1,12,Apartment,Semi-Furnished,3,4,10707000.0
Maharashtra,Pune,Koregaon Park,515,2,2,2,5,Apartment,Unfurnished,24,25,7666000.0
Karnataka,Bengaluru,Hebbal,905,4,4,2,1,Villa,Semi-Furnished,12,21,9922000.0
Karnataka,Bengaluru,Indiranagar,1689,4,4,1,5,Builder Floor,Unfurnished,4,9,21583000.0
Bihar,Patna,Boring Road,704,4,4,1,5,Apartment,Unfurnished,9,10,4376000.0
Kerala,Kochi,Edappally,1022,5,6,0,12,Apartment,Unfurnished,1,20,5458000.0
Telangana,Hyderabad,Kondapur,524,4,5,1,5,Builder Floor,Semi-Furnished,23,24,4315000.0
Bihar,Patna,Boring Road,1062,2,2,0,8,Apartment,Unfurnished,14,15,6422000.0
Arunachal Pradesh,Itanagar,Naharlagun,350,1,1,1,25,Independent House,Unfurnished,15,16,949000.0
Haryana,Gurugram,DLF Phase 1,639,2,3,0,8,Apartment,Semi-Furnished,12,13,7702000.0
Manipur,Imphal,Thangal Bazar,1623,1,2,1,8,Apartment,Unfurnished,3,18,5291000.0
Andhra Pradesh,Vijayawada,Governorpet,1307,2,1,0,8,Apartment,Unfurnished,23,24,5889000.0
Karnataka,Bengaluru,Indiranagar,726,3,3,2,18,Independent House,Unfurnished,13,21,8907000.0
Madhya Pradesh,Bhopal,Kolar Road,1076,3,3,3,1,Independent House,Unfurnished,10,26,4310000.0
Madhya Pradesh,Indore,Palasia,1421,4,4,1,8,Apartment,Unfurnished,14,16,8610000.0
Karnataka,Bengaluru,Whitefield,1812,3,3,1,2,Apartment,Unfurnished,23,24,15956000.0
Uttar Pradesh,Lucknow,Hazratganj,971,3,3,1,5,Apartment,Unfurnished,3,20,7434000.0
Uttar Pradesh,Lucknow,Gomti Nagar,1792,3,4,1,25,Independent House,Semi-Furnished,13,14,9956000.0
West Bengal,Kolkata,Ballygunge,1180,3,4,2,12,Apartment,Furnished,4,25,17594000.0
Bihar,Patna,Bailey Road,2192,1,1,1,1,Builder Floor,Unfurnished,3,7,15127000.0
Delhi,New Delhi,Saket,1775,3,4,0,8,Apartment,Semi-Furnished,3,28,37634000.0
Kerala,Thiruvananthapuram,Kazhakkoottam,1621,4,4,3,8,Apartment,Unfurnished,22,24,7533000.0
Sikkim,Gangtok,MG Marg,350,2,2,1,2,Apartment,Semi-Furnished,14,27,3502000.0
Tamil Nadu,Coimbatore,Peelamedu,1216,3,2,1,2,Apartment,Semi-Furnished,3,29,6449000.0
Bihar,Patna,Kankarbagh,988,2,1,2,8,Independent House,Unfurnished,12,13,4391000.0
Uttar Pradesh,Noida,Sector 18,1640,1,2,2,12,Independent House,Semi-Furnished,2,3,18310000.0
Maharashtra,Mumbai,Bandra,1030,2,3,3,12,Apartment,Semi-Furnished,4,18,26934000.0
Meghalaya,Shillong,Police Bazar,1655,4,4,1,2,Independent House,Semi-Furnished,22,23,9712000.0
Tamil Nadu,Chennai,OMR,1158,3,2,1,0,Apartment,Furnished,13,14,9889000.0
Dadra and Nagar Haveli and Daman and Diu,Daman,Moti Daman,1763,1,2,1,5,Apartment,Semi-Furnished,5,7,8579000.0
Telangana,Hyderabad,Kukatpally,350,3,3,1,0,Apartment,Unfurnished,21,22,2163000.0
Dadra and Nagar Haveli and Daman and Diu,Daman,Nani Daman,737,2,3,1,5,Apartment,Semi-Furnished,21,26,4081000.0
Rajasthan,Jaipur,Vaishali Nagar,1293,4,5,1,0,Apartment,Semi-Furnished,16,21,7807000.0
Puducherry,Puducherry City,Lawspet,1269,2,2,3,18,Villa,Unfurnished,15,16,8810000.0
Maharashtra,Pune,Hinjewadi,1218,1,1,2,2,Apartment,Unfurnished,18,24,8425000.0
Haryana,Gurugram,Sector 49,1577,3,2,2,12,Villa,Semi-Furnished,14,26,18540000.0
Delhi,New Delhi,Rohini,1755,4,4,2,5,Apartment,Semi-Furnished,23,24,18655000.0
Telangana,Hyderabad,Kondapur,1127,4,5,3,5,Independent House,Semi-Furnished,2,7,9073000.0
Jharkhand,Ranchi,Lalpur,911,4,3,2,2,Independent House,Furnished,11,12,5274000.0
Telangana,Hyderabad,Kukatpally,1044,3,3,2,8,Apartment,Unfurnished,16,17,5354000.0
Assam,Guwahati,Dispur,2176,3,4,1,8,Independent House,Semi-Furnished,9,14,12422000.0
Rajasthan,Udaipur,Hiran Magri,1133,4,4,2,5,Apartment,Furnished,17,21,7033000.0
Lakshadweep,Kavaratti,Kavaratti Town,585,3,2,1,8,Apartment,Semi-Furnished,9,20,2520000.0
Rajasthan,Udaipur,Hiran Magri,435,3,3,2,8,Apartment,Furnished,17,18,2521000.0
Chhattisgarh,Raipur,Telibandha,582,3,3,2,1,Apartment,Unfurnished,6,14,2527000.0
Delhi,New Delhi,Rohini,1954,3,3,2,8,Apartment,Unfurnished,8,22,20189000.0
Haryana,Gurugram,Sector 49,1325,2,1,3,12,Builder Floor,Unfurnished,19,20,10136000.0
Gujarat,Ahmedabad,Vastrapur,401,4,4,3,8,Independent House,Furnished,6,7,4203000.0
Chandigarh,Chandigarh City,Sector 9,1219,2,2,1,8,Villa,Semi-Furnished,4,10,20302000.0
Ladakh,Leh,Skara,350,3,3,2,1,Apartment,Semi-Furnished,0,13,1455000.0
Kerala,Thiruvananthapuram,Pattom,1093,3,3,2,5,Independent House,Semi-Furnished,2,20,7205000.0
Dadra and Nagar Haveli and Daman and Diu,Daman,Moti Daman,2127,2,2,2,5,Apartment,Unfurnished,17,18,9351000.0
Odisha,Bhubaneswar,Saheed Nagar,1791,3,3,1,2,Apartment,Semi-Furnished,7,28,12991000.0
Uttarakhand,Dehradun,Race Course,1556,2,2,1,2,Apartment,Semi-Furnished,5,20,11671000.0
Bihar,Patna,Kankarbagh,350,2,1,0,2,Apartment,Unfurnished,13,18,1493000.0
Maharashtra,Pune,Kothrud,2347,2,1,2,25,Independent House,Unfurnished,3,6,15313000.0
Meghalaya,Shillong,Laitumkhrah,1549,3,2,3,18,Independent House,Semi-Furnished,23,24,6977000.0
Tripura,Agartala,Banamalipur,2818,3,2,1,8,Independent House,Unfurnished,2,16,10782000.0
Haryana,Faridabad,Sector 15,829,2,3,2,1,Apartment,Semi-Furnished,16,17,5973000.0
Tamil Nadu,Coimbatore,Peelamedu,734,3,2,1,8,Apartment,Furnished,16,17,3689000.0
Gujarat,Ahmedabad,Navrangpura,1557,3,2,1,2,Builder Floor,Semi-Furnished,6,18,12014000.0
Chandigarh,Chandigarh City,Sector 9,1049,2,1,1,12,Apartment,Unfurnished,20,21,11494000.0
West Bengal,Kolkata,Howrah,628,3,3,2,12,Apartment,Furnished,3,4,3355000.0
Kerala,Thiruvananthapuram,Kazhakkoottam,1712,1,1,1,12,Apartment,Semi-Furnished,8,28,8057000.0
Telangana,Hyderabad,Gachibowli,1511,2,2,2,5,Apartment,Unfurnished,18,19,12366000.0
Telangana,Hyderabad,Kondapur,870,3,4,2,2,Apartment,Furnished,7,15,8553000.0
Gujarat,Ahmedabad,Bopal,2264,4,3,1,0,Apartment,Semi-Furnished,0,7,14738000.0
Maharashtra,Pune,Viman Nagar,1048,3,2,1,12,Apartment,Semi-Furnished,6,25,7946000.0
West Bengal,Kolkata,Salt Lake,1189,3,4,1,2,Villa,Unfurnished,9,17,15646000.0
Rajasthan,Jaipur,Vaishali Nagar,1311,2,2,0,12,Apartment,Unfurnished,6,29,5231000.0
Karnataka,Bengaluru,Hebbal,1287,2,2,2,0,Apartment,Semi-Furnished,16,17,9846000.0
